,VAR,RMS,IEMG,MAV,LOG,WL,ACC,DASDV,ZC,WAMP,MYOP,FR,MNP,TP,MNF,MDF,PKF,WENT
0,143635.62867989545,378.9929260977792,1030419.4847505998,183.1856861778844,5.979559775750277,269649.50750496297,47.937690223104525,103.47250688647009,1003.0,36.0,0.04337777777777778,inf,98650.85467486421,403975249.89356893,2.4746385846477894,1.0833740234375,0.6256103515625,0.9492260477556398
1,124634.82808710812,353.0368200984065,1025072.8588353798,182.23517490406752,6.0287914006179255,203223.18779466103,36.12856671905085,62.33240962631304,744.0,8.0,0.04586666666666667,inf,85601.03831109246,350536251.88392365,1.8200812258170778,0.9307861328125,0.701904296875,0.7100913066471022
2,88553.70425061315,297.5937267006619,962777.5240236538,171.16044871531622,6.781206271728726,187789.38288062077,33.38477917877702,55.31006359330405,409.0,2.0,0.0304,inf,60829.49198618334,249096769.68342078,1.9429083404781755,0.9307861328125,0.701904296875,0.7739067672454638
3,4342.411183326321,65.90111148451885,273635.3953997404,48.6462925155094,4.381658610201284,72351.80718663245,12.862543499845769,18.505858678020726,494.0,0.0,0.0,inf,2983.056941566162,12215618.175713433,2.9682425271771278,1.28173828125,1.03759765625,1.095336941093472
4,3171.049064566631,56.31220889216142,238207.7095406817,42.34803725167675,4.1252593837218825,59787.55950132877,10.628899466902892,15.691247040699343,480.0,0.0,0.0,inf,2177.9362544403593,8918648.961933272,2.879688108525837,1.2054443359375,1.007080078125,1.0378822761756465
5,6605.560159499451,81.27459784197666,300825.3312145388,53.48005888258467,4.378727965406548,69503.94989306614,12.356257758767313,18.415817479943488,477.0,0.0,0.0,inf,4536.785927977439,18578138.375067614,2.124104766805131,1.0528564453125,0.8392333984375,0.7747758694449418
6,3111.859865604717,55.784048433826634,230503.05692714412,40.97832123149229,4.069175381214243,55382.00556972288,9.845689879061846,13.879762334229875,451.0,0.0,0.0,inf,2137.266123140838,8752104.774261732,2.7102476912715865,1.2359619140625,0.9765625,0.9221747184245528
7,2708.3921496042462,52.04224107187184,225421.1599675318,40.07487288311676,4.114370518956342,56544.40924297061,10.052339420972553,14.517773325551131,444.0,0.0,0.0,inf,1860.1623408435923,7617364.78575451,3.0607525448847097,1.6326904296875,0.9918212890625,1.1262531218836171
8,4393.398945110859,66.2831690637217,270171.1297522161,48.03042306706064,4.371704984253637,63642.7639478135,11.314269146277956,15.987568118704669,440.0,0.0,0.0,inf,3017.513255610716,12356716.781725882,2.5115002044695762,1.2359619140625,1.0223388671875,0.8316399530991703
9,3356.5574831374115,57.93580522702977,246677.700641273,43.85381344733742,4.28154923969572,60965.767162608536,10.838358606685961,16.34087615781245,400.0,0.0,0.0,inf,2305.3278887856113,9440317.704577079,2.800049232081742,1.0986328125,1.03759765625,0.9752693640162191
10,2940.844950447585,54.22961446241672,233281.6341160271,41.47229050951593,4.187744433325603,67287.47792889166,11.96221829846963,16.959787202984888,479.0,0.0,0.0,inf,2019.818041403014,8271154.879545342,3.197110296103461,1.5716552734375,1.03759765625,1.1577834034237986
11,3937.012953542002,62.74594242853805,265663.0388751523,47.228984688915965,4.376010593833154,69389.90018922296,12.33598225586186,16.78155657185331,498.0,0.0,0.0,inf,2704.039072599939,11073040.002296751,2.6935680641380753,1.251220703125,0.9765625,0.9745430338269907
12,4213.563368203983,64.91222457721209,275415.2244602154,48.96270657070497,4.455651709207263,81438.45894766052,14.47794825736187,19.48355961232567,548.0,0.0,0.0,inf,2893.969726748411,11850806.031034743,3.0886070901650573,1.4801025390625,1.0528564453125,1.0377247780094265
13,3686.085095382353,60.71389888740264,266324.83114975353,47.34663664884507,4.452349102398499,81515.38013435926,14.491623134997203,19.569025616396857,530.0,0.0,0.0,inf,2531.758843848176,10367552.465558281,3.2836938078620763,1.4495849609375,1.0223388671875,1.1589796719120968
14,4256.681119003266,65.24327025437417,280934.7034103217,49.943947272946076,4.489947796727627,82200.12044877515,14.613354746448916,19.562518248639588,521.0,0.0,0.0,inf,2923.5479220800426,11971928.740917774,3.074633900002683,1.617431640625,0.946044921875,1.0560026395521787
15,3976.721167187962,63.06124936511294,269752.7115676183,47.956037612021035,4.388805263365558,81609.87039037012,14.508421402732466,18.998465059898894,558.0,0.0,0.0,inf,2731.264427602151,11184527.831030808,3.083552348591793,1.6632080078125,0.9613037109375,1.154964708952103
16,4164.92118701339,64.53677578731083,282455.9985913376,50.21439974957113,4.548685397616588,81937.3590705759,14.566641612546826,20.11516187409577,531.0,0.0,0.0,inf,2860.608768351244,11714192.906398345,3.107163775223626,1.52587890625,1.0986328125,1.056270030127753
17,3392.8324668158507,58.24926763424739,251937.9282673197,44.78896502530128,4.322708703170371,76169.89996783229,13.54131554983685,18.611675171201,510.0,0.0,0.0,inf,2330.409675674523,9543027.621887172,3.2567338768776297,1.4190673828125,1.0223388671875,1.1510569806441389
18,2788.735815993618,52.80849825290465,227621.23189991916,40.46599678220785,4.15602066150611,64816.6996186425,11.522968821092,15.523877319429083,482.0,0.0,0.0,inf,1915.3424470391742,7843327.320625419,3.1408025930774013,1.89208984375,0.9918212890625,1.1293059849388007
19,3667.1103157925763,60.557084072762706,257723.5949421224,45.81752798971065,4.340555658577326,71102.70456050606,12.640480810756632,17.786867494707625,469.0,0.0,0.0,inf,2518.6777720479977,10313985.47653655,3.073216176735355,1.7852783203125,0.9765625,1.0801223190583207
