mean_nni,cvnni,cvsd,max_hr,mean_hr,median_nni,min_hr,nni_20,nni_50,pnni_20,pnni_50,range_nni,rmssd,fuzzy,sdnn,sdsd,std_hr,lf,hf,lf_hf_ratio,lfnu,total_power,vlf,csi,cvi
804.2666666666667,0.0680752947154161,0.0918218675401594,79.7872340425532,74.89871843567529,776.0,63.559322033898304,8.0,6.0,57.142857142857146,42.85714285714285,192.0,73.84926733363227,54.75069036311867,73.35015267849948,4.51788709708797,258.0788088416392,859.4884487892847,0.3002702470349438,23.092910702191457,76.90708929780854,1148.2466216970574,30.67936406613362,1.034136454629324,4.680654562525605
715.2307692307693,0.093193861080579,0.1013789015607894,96.15384615384616,84.53341286887431,678.0,66.96428571428571,15.0,10.0,60.0,40.0,272.0,72.50930974709385,66.65511694824798,72.2403100768539,7.083995740713028,1335.695805639304,386.8044649686199,3.453155086375915,77.54401136714455,22.45598863285545,2144.767945941313,422.2676753333893,1.5063802100303805,4.816312558344204
834.6666666666666,0.0588580701030228,0.0866777036282631,83.33333333333333,72.12645620121265,832.0,63.559322033898304,21.0,15.0,91.30434782608695,65.21739130434783,224.0,72.34698996172362,49.12686917932302,72.34615382682739,4.20590035827149,91.70187823517298,626.3836563604908,0.1463988999457507,12.770328020436736,87.22967197956326,750.3952760184719,32.30974142280813,0.8742185575634746,4.582846058396252
853.7142857142857,0.0756943203992608,0.0994006995615509,85.22727272727273,70.66808073674581,840.0,60.483870967741936,23.0,13.0,85.18518518518519,48.14814814814815,288.0,84.85979722568977,64.62132267228321,84.85979722568977,5.23788181510746,1234.6427801917016,1347.0427577688474,0.9165579734355888,47.82312803158168,52.176871968418325,2673.565080842586,91.87954288203748,1.1107029773843762,4.822482318583992
848.3809523809524,0.1010555280481632,0.1068933385827783,83.33333333333333,71.39040329195066,832.0,59.05511811023622,15.0,9.0,75.0,45.0,296.0,90.68627239003708,85.7335851288608,90.68274367265252,6.80541839174701,5784.841514534262,2844.145452184207,2.0339471422221744,67.03963671339498,32.96036328660502,9056.853330359612,427.8663636411443,1.5480750385099535,5.030207692843219
801.5238095238095,0.0716005713111525,0.0774733052807653,84.26966292134831,75.21728387877882,784.0,64.65517241379311,14.0,10.0,70.0,50.0,216.0,62.0966987850401,57.38956268139621,61.99225758108831,5.169052367362149,897.9453147681572,237.3669192488628,3.782942111772212,79.09236665150705,20.90763334849295,1473.5468652548864,338.2346312378663,1.5022236073918571,4.686775869133762
712.0,0.0978039584436148,0.1072068284672153,98.6842105263158,85.0208561390795,704.0,66.96428571428571,16.0,11.0,61.53846153846154,42.30769230769231,288.0,76.33126186865731,69.6364184118538,76.00249139485398,7.886794422016105,909.0088745820806,795.425364774006,1.1427959364111373,53.33200035487978,46.66799964512023,2073.429500706192,368.9952613501052,1.4929233361168723,4.855816490660167
800.2758620689655,0.0867572930286514,0.1039559110492832,93.75,75.53724714946951,792.0,65.21739130434783,20.0,15.0,71.42857142857143,53.57142857142857,280.0,83.19340633212981,69.42976746927386,83.18555604607015,6.649104536495539,871.3632839017988,1563.902668545895,0.5571723237175532,35.78103176065795,64.21896823934205,2439.3354979813007,4.069545533607004,1.2988304726606303,4.872532571415229
784.2758620689655,0.0457386160496472,0.0613545598976133,85.22727272727273,76.65967162537217,776.0,70.75471698113208,18.0,12.0,64.28571428571429,42.85714285714285,144.0,48.11890035556269,35.87169253217853,48.11805210911504,3.4766308784493174,163.01247132349647,270.98529520119826,0.6015546755127975,37.5606705603221,62.43932943967789,456.5405460536903,22.542779528995585,1.0694145894614069,4.312646435095271
773.3333333333334,0.0800538995925172,0.0766230345624649,87.20930232558139,78.04387908024127,764.0,63.02521008403362,21.0,14.0,72.41379310344827,48.27586206896552,264.0,59.25514672830625,61.90834901821336,59.17739710548899,5.846483160341768,150.41864403670397,737.2925784713013,0.2040148625238859,16.9445468551962,83.05545314480379,1117.8522190769502,230.14099656894484,1.796316188961475,4.717024455404306
769.3333333333334,0.1145014969519785,0.1200780217207866,90.36144578313252,78.8470099952638,752.0,55.55555555555556,23.0,18.0,79.3103448275862,62.06896551724138,416.0,92.38002471052516,88.08981832172219,92.12223694544946,7.71096076674011,2647.039536847109,4043.194041377341,0.6546902052579642,39.56572675523264,60.43427324476737,6968.488422273911,278.25484404946053,1.5910261294217738,5.048736215903594
754.2857142857143,0.085184519766901,0.0998281010719404,93.75,80.09229504378486,744.0,66.3716814159292,22.0,14.0,81.48148148148148,51.851851851851855,264.0,75.2989105228351,64.25346633846252,75.28958269244653,6.579411583423803,150.78468399989066,854.5986972877913,0.1764391690256848,14.997729901479731,85.00227009852027,1087.587964560534,82.20458327285195,1.3436472367040686,4.801235446461322
775.448275862069,0.1059268766340932,0.1264123457445595,93.75,78.22210258900911,768.0,64.1025641025641,23.0,21.0,82.14285714285714,75.0,296.0,98.02623555529844,82.14081385336165,97.9995835059871,8.20139112898947,929.6174801444806,957.2472937286082,0.9711361799974324,49.26783800390176,50.73216199609825,2412.805609881414,525.9408360083255,1.307588505994426,5.017803808478398
767.1724137931035,0.0816038703592128,0.1081547199536986,90.36144578313252,78.69672896453778,760.0,64.1025641025641,23.0,13.0,82.14285714285714,46.42857142857143,272.0,82.97331756999613,62.60423819833678,82.97134986222162,6.114129176132184,602.2650474811263,471.2464645840628,1.2780256038901103,56.10233711630228,43.89766288369773,1215.4335295610165,141.92201749582742,1.0935821256164004,4.795591968720927
759.4666666666667,0.0593904104493354,0.0797199627373853,91.46341463414636,79.28353930631933,768.0,68.80733944954129,18.0,12.0,62.06896551724138,41.37931034482759,216.0,60.54465436695293,45.10503705592194,60.544025902913816,4.8263718600724,349.316811459018,798.9851650516127,0.4372006224126237,30.420291752914537,69.57970824708546,1252.2808331450735,103.97885663444278,1.0693549001913494,4.511594409809668
750.4705882352941,0.0703198073811222,0.0851080419145824,98.6842105263158,80.34297443171953,758.0,68.18181818181819,25.0,16.0,75.75757575757575,48.48484848484848,272.0,63.87108227919072,52.7729472099034,63.85957965475718,5.713584112579991,1348.688426226567,874.4555768047783,1.5423178283734138,60.66581491741319,39.33418508258679,2430.310840878522,207.1668378471768,1.2840975132173231,4.635504064550623
